scenario_id,maturity_days,maturity_years,fraction_fixed,n_fixed,n_future,moneyness,strike
92,126,0.5,0.2727272727272727,6,16,0.75,75.0
93,126,0.5,0.2727272727272727,6,16,0.9,90.0
94,126,0.5,0.2727272727272727,6,16,1.0,100.0
95,126,0.5,0.2727272727272727,6,16,1.1,110.00000000000001
96,126,0.5,0.2727272727272727,6,16,1.25,125.0
97,126,0.5,0.2727272727272727,6,16,1.5,150.0
98,126,0.5,0.5,11,11,0.6,60.0
99,126,0.5,0.5,11,11,0.75,75.0
100,126,0.5,0.5,11,11,0.9,90.0
101,126,0.5,0.5,11,11,1.0,100.0
102,126,0.5,0.5,11,11,1.1,110.00000000000001
103,126,0.5,0.5,11,11,1.25,125.0
104,126,0.5,0.5,11,11,1.5,150.0
105,126,0.5,0.7272727272727273,16,6,0.6,60.0
106,126,0.5,0.7272727272727273,16,6,0.75,75.0
107,126,0.5,0.7272727272727273,16,6,0.9,90.0
108,126,0.5,0.7272727272727273,16,6,1.0,100.0
109,126,0.5,0.7272727272727273,16,6,1.1,110.00000000000001
110,126,0.5,0.7272727272727273,16,6,1.25,125.0
111,126,0.5,0.7272727272727273,16,6,1.5,150.0
112,126,0.5,0.9090909090909091,20,2,0.6,60.0
113,126,0.5,0.9090909090909091,20,2,0.75,75.0
114,126,0.5,0.9090909090909091,20,2,0.9,90.0
115,126,0.5,0.9090909090909091,20,2,1.0,100.0
116,126,0.5,0.9090909090909091,20,2,1.1,110.00000000000001
117,126,0.5,0.9090909090909091,20,2,1.25,125.0
118,126,0.5,0.9090909090909091,20,2,1.5,150.0
119,126,0.5,0.9545454545454546,21,1,0.6,60.0
120,126,0.5,0.9545454545454546,21,1,0.75,75.0
121,126,0.5,0.9545454545454546,21,1,0.9,90.0
122,126,0.5,0.9545454545454546,21,1,1.0,100.0
123,126,0.5,0.9545454545454546,21,1,1.1,110.00000000000001
124,126,0.5,0.9545454545454546,21,1,1.25,125.0
125,126,0.5,0.9545454545454546,21,1,1.5,150.0
126,252,1.0,0.0,0,22,0.6,60.0
127,252,1.0,0.0,0,22,0.75,75.0
128,252,1.0,0.0,0,22,0.9,90.0
129,252,1.0,0.0,0,22,1.0,100.0
130,252,1.0,0.0,0,22,1.1,110.00000000000001
131,252,1.0,0.0,0,22,1.25,125.0
132,252,1.0,0.0,0,22,1.5,150.0
133,252,1.0,0.2727272727272727,6,16,0.6,60.0
134,252,1.0,0.2727272727272727,6,16,0.75,75.0
135,252,1.0,0.2727272727272727,6,16,0.9,90.0
136,252,1.0,0.2727272727272727,6,16,1.0,100.0
137,252,1.0,0.2727272727272727,6,16,1.1,110.00000000000001
138,252,1.0,0.2727272727272727,6,16,1.25,125.0
139,252,1.0,0.2727272727272727,6,16,1.5,150.0
140,252,1.0,0.5,11,11,0.6,60.0
141,252,1.0,0.5,11,11,0.75,75.0
142,252,1.0,0.5,11,11,0.9,90.0
143,252,1.0,0.5,11,11,1.0,100.0
144,252,1.0,0.5,11,11,1.1,110.00000000000001
145,252,1.0,0.5,11,11,1.25,125.0
146,252,1.0,0.5,11,11,1.5,150.0
147,252,1.0,0.7272727272727273,16,6,0.6,60.0
148,252,1.0,0.7272727272727273,16,6,0.75,75.0
149,252,1.0,0.7272727272727273,16,6,0.9,90.0
150,252,1.0,0.7272727272727273,16,6,1.0,100.0
151,252,1.0,0.7272727272727273,16,6,1.1,110.00000000000001
152,252,1.0,0.7272727272727273,16,6,1.25,125.0
153,252,1.0,0.7272727272727273,16,6,1.5,150.0
154,252,1.0,0.9090909090909091,20,2,0.6,60.0
155,252,1.0,0.9090909090909091,20,2,0.75,75.0
156,252,1.0,0.9090909090909091,20,2,0.9,90.0
157,252,1.0,0.9090909090909091,20,2,1.0,100.0
158,252,1.0,0.9090909090909091,20,2,1.1,110.00000000000001
159,252,1.0,0.9090909090909091,20,2,1.25,125.0
160,252,1.0,0.9090909090909091,20,2,1.5,150.0
161,252,1.0,0.9545454545454546,21,1,0.6,60.0
162,252,1.0,0.9545454545454546,21,1,0.75,75.0
163,252,1.0,0.9545454545454546,21,1,0.9,90.0
164,252,1.0,0.9545454545454546,21,1,1.0,100.0
165,252,1.0,0.9545454545454546,21,1,1.1,110.00000000000001
166,252,1.0,0.9545454545454546,21,1,1.25,125.0
167,252,1.0,0.9545454545454546,21,1,1.5,150.0
