n_obs,history_years,prior,prior_alpha,prior_beta,prior_mean_sigma,prior_sd_sigma,sigma_mle,sigma_posterior_mean,sigma_posterior_sd,sigma_q025,sigma_q50,sigma_q975,sigma_rhat,mean_acceptance_rate,curran_posterior_integrated_price,curran_posterior_mean_plugin_price,curran_pi_minus_pm,abs_curran_pi_minus_pm
63,0.25,baseline,2.0,0.1,0.1,inf,0.5035372969002354,0.5043258265393706,0.04528922914170512,0.42524815317314457,0.5007048215102643,0.6032527848997138,1.000693955346406,0.4454222711135557,1.2213466411098926,1.2067278689566812,0.01461877215321139,0.01461877215321139
63,0.25,wti_centered_broad,3.0,0.8,0.4,0.4,0.5035372969002354,0.5062039621734549,0.045449673839186744,0.4278409171510629,0.5028007891234508,0.6043196266473221,1.0000256255643538,0.4421846092304615,1.2346465829030893,1.2200451489104913,0.014601433992597945,0.014601433992597945
63,0.25,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.5035372969002354,0.5001007569980395,0.04290842666816852,0.4241419434521042,0.49700248208864256,0.5927782786911057,1.0002422240770188,0.43838441922096105,1.1903355078806839,1.1769632169079622,0.013372290972721634,0.013372290972721634
126,0.5,baseline,2.0,0.1,0.1,inf,0.6835013587168155,0.68350719206383,0.04310278400245162,0.6059737173833255,0.6810614627125029,0.7737610260811542,1.000103863558566,0.4782114105705285,2.6683801699177483,2.661687273816181,0.006692896101567314,0.006692896101567314
126,0.5,wti_centered_broad,3.0,0.8,0.4,0.4,0.6835013587168155,0.6839284834964828,0.04334209620564331,0.6055352700263138,0.6816971964012641,0.774914940988836,0.999976903912109,0.4769363468173409,2.6722133670003916,2.6654570614194792,0.006756305580912336,0.006756305580912336
126,0.5,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.6835013587168155,0.6766480595747318,0.042137046523802256,0.5996435586777756,0.674900746888238,0.7641425841951563,0.9999984961051098,0.47013600680034007,2.607048013222278,2.6004802311049224,0.006567782117355758,0.006567782117355758
252,1.0,baseline,2.0,0.1,0.1,inf,0.5459531062119849,0.5463709668912502,0.02422675484273673,0.5016664805595533,0.5455586572552378,0.5969250709283838,1.0000038952788073,0.4743987199359968,1.5200126059707355,1.5164171295447724,0.00359547642596314,0.00359547642596314
252,1.0,wti_centered_broad,3.0,0.8,0.4,0.4,0.5459531062119849,0.5464356290415789,0.02432342791660812,0.5008279377959786,0.5455194187209631,0.5966596373629044,1.000649072269018,0.47587379368968447,1.5205371325499417,1.5169109800776552,0.0036261524722864813,0.0036261524722864813
252,1.0,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.5459531062119849,0.5447799363008163,0.024165919926680983,0.5002356991341663,0.5439200518018752,0.5949441383283183,1.0000251039855825,0.472223611180559,1.5078774711521064,1.5042779482200606,0.0035995229320457955,0.0035995229320457955
504,2.0,baseline,2.0,0.1,0.1,inf,0.4532746304732779,0.4537704453708792,0.014283907655447759,0.42686343702320373,0.4532921113851873,0.48309826931031724,1.000027320539148,0.4643482174108705,0.8706715685963575,0.8688703162448976,0.0018012523514598922,0.0018012523514598922
504,2.0,wti_centered_broad,3.0,0.8,0.4,0.4,0.4532746304732779,0.4535566644891346,0.014264368916671119,0.4265182259614365,0.45319880558868597,0.4824474838420967,1.0002957763229032,0.4648857442872144,0.8693311266023915,0.8675303793996906,0.0018007472027009586,0.0018007472027009586
504,2.0,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.4532746304732779,0.4534420335839495,0.014196959199034784,0.42688499134637065,0.4531144443662583,0.48244752259288753,1.0000099261263182,0.4643857192859643,0.8685963243562322,0.8668120218222728,0.0017843025339594476,0.0017843025339594476
673,2.6706349206349205,baseline,2.0,0.1,0.1,inf,0.4148881983544413,0.4150966797500727,0.011394929689350172,0.3934214193052839,0.4149459604565373,0.4381289955231417,1.0005303480486782,0.4590979548977449,0.641892185708199,0.6405683157295541,0.0013238699786448649,0.0013238699786448649
673,2.6706349206349205,wti_centered_broad,3.0,0.8,0.4,0.4,0.4148881983544413,0.4153017364656672,0.011305242670375979,0.39408056528540447,0.4150074413472026,0.438360406634223,1.0001384488217844,0.46121056052802645,0.6430034013350548,0.6417012349132134,0.0013021664218414442,0.0013021664218414442
673,2.6706349206349205,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.4148881983544413,0.41527226667079864,0.01121017551389352,0.39401494746914334,0.4148567248031573,0.4379928998795048,1.0000434656493793,0.45796039801990096,0.6428189643924574,0.6415384170515875,0.0012805473408699086,0.0012805473408699086
