contract_id,sigma,model_price,pricing_se,n_paths
jaoh7_7900c,0.34639500481310537,7.790375325138616,0.040921658264486266,100000
jaoh7_8000c,0.34639500481310537,7.34734578143454,0.03992133981312364,100000
jaoh7_8025c,0.34639500481310537,7.23966340729227,0.03967084336185338,100000
jaoh7_8045c,0.34639500481310537,7.154354112148983,0.039470447853616204,100000
jaoh7_8075c,0.34639500481310537,7.0278193127640245,0.039169820506770904,100000
jaoh7_8100c,0.34639500481310537,6.923729136752435,0.038919207578185955,100000
jaoh7_8102c,0.34639500481310537,6.9154565675888025,0.03889915314133069,100000
jaoh7_8125c,0.34639500481310537,6.820875287562854,0.038668526014707494,100000
jaoh7_8150c,0.34639500481310537,6.719092653502887,0.03841808944885667,100000
jaoh7_8185c,0.34639500481310537,6.578483701531419,0.03806777974065434,100000
jaoh7_8342c,0.34639500481310537,5.976114871326317,0.03649976294031334,100000
jaoh7_8430c,0.34639500481310537,5.65830465808157,0.03562518745899947,100000
jaoh7_8455c,0.34639500481310537,5.570684436496341,0.035377301458124705,100000
jaoh7_8500c,0.34639500481310537,5.415673325653961,0.034932242992742876,100000
jaoh7_8525c,0.34639500481310537,5.3310333028541,0.034685684991391304,100000
jaoh7_8575c,0.34639500481310537,5.164863876256428,0.03419421590671824,100000
jaoh7_8635c,0.34639500481310537,4.971164840408896,0.033607111877295794,100000
jaoh7_8675c,0.34639500481310537,4.845452029910681,0.033217450341809944,100000
jaoh7_8700c,0.34639500481310537,4.768341683978843,0.03297453257583988,100000
jaoh7_8705c,0.34639500481310537,4.753036084885466,0.03292603378155037,100000
jaoh7_6800p,0.34639500481310537,2.727285215237561,0.017544642642491306,100000
jaoh7_6900p,0.34639500481310537,3.032258380681948,0.018614834119610915,100000
jaoh7_7000p,0.34639500481310537,3.3586479848250446,0.019699931905702482,100000
jaoh7_7100p,0.34639500481310537,3.705807811488345,0.020798578608058324,100000
jaoh7_7150p,0.34639500481310537,3.8875945042823696,0.021351436548578143,100000
jaoh7_7250p,0.34639500481310537,4.267179189592211,0.02246342281716939,100000
jaoh7_7300p,0.34639500481310537,4.46486266984814,0.02302205983224661,100000
jaoh7_7400p,0.34639500481310537,4.875624254949634,0.0241436338990616,100000
jaoh7_7450p,0.34639500481310537,5.088852283340598,0.02470553386821271,100000
jaoh7_7500p,0.34639500481310537,5.307272933818072,0.025267785387653983,100000
jaoh7_7690p,0.34639500481310537,6.185105993261833,0.027400366181354448,100000
jaoh7_7900c,0.3501899784672907,7.8721965788415424,0.04142991970819489,100000
jaoh7_8000c,0.3501899784672907,7.4296970050460835,0.04043031796927379,100000
jaoh7_8025c,0.3501899784672907,7.32210659028641,0.04018002269575496,100000
jaoh7_8045c,0.3501899784672907,7.236866212576884,0.03997978080279178,100000
jaoh7_8075c,0.3501899784672907,7.110417005844483,0.0396793892443634,100000
jaoh7_8100c,0.3501899784672907,7.006385414252907,0.039428970645099974,100000
jaoh7_8102c,0.3501899784672907,6.998117375834733,0.03940893104112281,100000
jaoh7_8125c,0.3501899784672907,6.903574301471869,0.03917848845883268,100000
jaoh7_8150c,0.3501899784672907,6.801819048985543,0.038928254825576256,100000
jaoh7_8185c,0.3501899784672907,6.661231667305166,0.03857821828962407,100000
jaoh7_8342c,0.3501899784672907,6.0586600898279235,0.037011341400341256,100000
jaoh7_8430c,0.3501899784672907,5.740507523917578,0.036137339352825454,100000
jaoh7_8455c,0.3501899784672907,5.652768251336223,0.03588959221275899,100000
